lsoa11cd,lsoa11nm,proportion_male,16_29_rate,30_44_rate,45_64_rate,violence_rate_2015,violence_rate_2016,violence_rate_2017,violence_rate_2018,violence_rate_2019
E01001996,Haringey 014C,0.4918625678119349,0.17118746232670284,0.2646172393007836,0.2694394213381555,9.041591320072333,14.176018901358535,10.90909090909091,6.127450980392156,14.392991239048811
E01001997,Haringey 014D,0.4647550776583035,0.22879330943847073,0.3213859020310633,0.20908004778972522,19.115890083632017,38.72832369942196,53.25112107623318,28.872848417545807,33.29633740288568
E01001998,Haringey 023A,0.5310185185185186,0.2310185185185185,0.38287037037037036,0.1648148148148148,16.203703703703702,10.367577756833176,14.111006585136407,5.7034220532319395,15.57935735150925
E01001999,Haringey 023B,0.5186321788689171,0.2507672073651907,0.3529153879877247,0.1823761508110478,23.23542306006138,39.21568627450981,31.46551724137931,30.716723549488055,13.597033374536464
E01002000,Haringey 031A,0.5089585666293394,0.22508398656215006,0.3650615901455767,0.17245240761478164,9.518477043673013,16.97699890470975,14.647887323943662,14.340871483728627,17.174515235457065
E01002001,Haringey 031B,0.525,0.25833333333333336,0.3388888888888889,0.1938888888888889,11.666666666666668,15.025041736227045,8.259587020648967,13.856812933025404,13.969732246798603
E01002002,Haringey 031C,0.5485781990521327,0.2950236966824645,0.3264218009478673,0.18838862559241706,54.502369668246445,52.78422273781903,82.15962441314555,62.68836648583484,69.8090692124105
E01002003,Haringey 023C,0.4850374064837905,0.2946799667497922,0.31629260182876145,0.1633416458852868,39.06899418121363,33.25020781379884,34.19859909353111,30.87690407575134,30.687397708674304
E01002004,Haringey 023D,0.4967188288743059,0.2751135790005048,0.3165068147400303,0.19081272084805653,15.143866733972741,10.912698412698411,14.713610089332633,20.967741935483872,16.550987720234918
E01002005,Haringey 035A,0.46963824289405687,0.2202842377260982,0.43087855297157623,0.16149870801033592,14.857881136950903,10.596026490066226,9.22266139657444,13.333333333333334,8.609271523178808
E01002006,Haringey 035B,0.44713930348258707,0.20460199004975124,0.34888059701492535,0.22761194029850745,6.840796019900497,9.876543209876543,12.78149726110773,17.1990171990172,14.33915211970075
E01002007,Haringey 035C,0.4839973873285434,0.17243631613324625,0.2749836708033965,0.23383409536250815,11.103853690398433,8.51900393184797,9.823182711198427,9.874917709019092,12.1049092131809
E01002008,Haringey 030B,0.4568165596002855,0.11848679514632406,0.198429693076374,0.26266952177016417,5.710206995003569,6.2761506276150625,7.451564828614009,13.006885998469778,8.295625942684767
E01002009,Haringey 035D,0.5012987012987012,0.19935064935064936,0.2512987012987013,0.237012987012987,12.337662337662339,9.746588693957115,11.583011583011583,16.5016501650165,11.596180081855389
