lsoa,employ_score,edu_score,health_score,income_score,enviroment_score
E01027057,0.115,18.466,-0.075,0.108,17.609
E01027058,0.188,53.119,0.18,0.212,16.663
E01027059,0.107,34.884,0.034,0.143,34.345
E01027060,0.145,32.762,0.367,0.18,31.991
E01027061,0.13,34.507,-0.108,0.167,11.739
E01027062,0.115,23.676,-0.116,0.147,12.83
E01027063,0.065,13.59,-1.003,0.064,6.206
E01027064,0.072,17.838,-0.174,0.065,3.175
E01027065,0.169,33.165,0.023,0.189,36.528
E01027066,0.049,11.01,-0.984,0.065,0.704
E01027067,0.07,16.312,-1.059,0.063,2.378
E01027068,0.042,11.421,-1.592,0.034,1.047
E01027069,0.174,22.014,0.55,0.17,24.306
E01027070,0.078,25.879,-0.564,0.078,6.651
E01027071,0.083,22.924,-0.742,0.054,2.705
E01027072,0.207,57.512,0.379,0.285,9.744
E01027073,0.111,20.206,-0.263,0.111,21.717
E01027074,0.054,12.472,-0.562,0.078,11.104
E01027075,0.044,11.843,-1.182,0.049,4.683
E01027076,0.077,23.585,-0.163,0.092,19.773
E01027077,0.044,7.89,-1.003,0.039,7.303
E01027078,0.078,11.511,-0.651,0.089,25.126
E01027079,0.093,15.413,-0.164,0.118,24.986
E01027080,0.071,9.377,-0.269,0.046,10.865
E01027081,0.165,49.897,0.696,0.221,17.071
E01027082,0.173,39.741,0.388,0.208,33.471
E01027083,0.28,73.769,1.12,0.342,9.243
E01027084,0.066,10.925,-0.35,0.062,6.137
E01027085,0.105,16.049,0.074,0.102,12.066
E01027086,0.05,5.926,-0.585,0.03,3.263
E01027087,0.069,13.645,-0.165,0.075,6.062
E01027088,0.04,8.249,-0.6,0.035,2.099
E01027089,0.079,8.629,-0.315,0.09,1.978
E01027090,0.067,8.817,-0.58,0.05,36.208
E01027091,0.124,33.404,0.297,0.156,10.195
E01027092,0.118,24.369,0.317,0.113,5.91
E01027094,0.083,10.826,-0.188,0.076,4.414
E01027095,0.088,23.921,-0.201,0.097,8.869
E01027096,0.076,21.15,-0.481,0.058,4.046
E01027097,0.086,14.24,-0.212,0.097,3.295
E01027098,0.072,20.21,-0.121,0.079,6.995
E01027099,0.078,13.735,-0.584,0.072,10.37
E01027100,0.109,20.435,0.539,0.117,16.849
E01027101,0.065,17.452,-0.385,0.107,9.696
E01027102,0.082,31.26,-0.535,0.094,9.243
E01027103,0.064,6.589,-0.398,0.059,11.753
E01027104,0.169,28.476,0.715,0.21,32.539
E01027105,0.166,38.614,0.945,0.187,56.59
E01027106,0.189,44.644,0.466,0.207,51.282
E01027107,0.08,26.629,0.058,0.114,22.236
E01027108,0.057,10.383,-0.682,0.06,5.07
E01027109,0.1,21.352,-0.327,0.101,4.437
E01027110,0.26,26.686,1.614,0.295,24.566
E01027111,0.148,28.662,0.747,0.16,41.683
E01027112,0.126,49.73,0.083,0.172,40.771
E01027113,0.147,11.439,0.577,0.141,29.56
E01027114,0.105,21.667,0.128,0.114,26.552
E01027115,0.051,2.39,-0.12,0.036,7.196
E01027116,0.043,5.317,-1.13,0.05,2.309
E01027117,0.061,11.931,-0.314,0.06,8.667
E01027119,0.105,16.244,0.061,0.125,18.231
E01027120,0.07,6.565,-0.701,0.056,1.837
E01027121,0.036,3.158,-0.912,0.012,3.189
E01027122,0.071,16.751,-0.286,0.061,5.338
E01027123,0.108,22.59,0.1,0.132,11.295
E01027124,0.172,43.41,0.478,0.211,23.144
E01027125,0.064,8.789,-0.688,0.054,2.073
E01027126,0.097,27.783,0.046,0.151,22.951
E01027127,0.287,78.985,1.235,0.386,14.395
E01027128,0.182,70.204,0.588,0.267,22.125
E01027129,0.055,8.374,-0.616,0.061,17.521
E01027130,0.11,26.194,-0.023,0.147,11.204
E01027131,0.266,53.572,1.406,0.278,7.131
E01027132,0.092,22.949,0.402,0.129,41.257
E01027133,0.066,20.588,-0.14,0.094,46.899
E01027134,0.07,21.921,0.184,0.096,55.279
E01027135,0.081,6.525,-0.451,0.081,34.024
E01027136,0.082,7.036,0.352,0.096,50.792
E01027137,0.168,53.321,0.751,0.27,20.81
E01027138,0.088,15.59,-0.007,0.103,10.011
E01027139,0.106,22.379,-0.084,0.097,13.667
E01027140,0.327,67.285,2.042,0.439,14.938
E01027141,0.056,7.293,-0.458,0.067,4.368
E01027142,0.108,28.926,0.367,0.169,9.148
E01027143,0.082,28.551,0.039,0.091,4.085
E01027144,0.047,20.045,-0.558,0.04,5.713
E01027145,0.111,26.04,0.11,0.091,12.315
E01027146,0.088,18.596,-0.046,0.069,12.448
E01027147,0.139,35.78,0.678,0.175,26.47
E01027148,0.057,15.354,-0.103,0.046,9.639
E01027149,0.078,17.669,0.118,0.065,17.776
E01027151,0.139,42.006,0.634,0.225,48.719
E01027152,0.124,56.386,0.78,0.165,38.752
E01027153,0.267,50.479,2.038,0.31,36.183
E01027154,0.105,43.329,0.2,0.164,51.674
E01027155,0.101,48.592,0.992,0.178,58.479
E01027156,0.158,47.747,0.825,0.224,35.665
E01027158,0.083,26.098,-0.02,0.122,44.247
E01027159,0.09,20.888,0.195,0.083,21.83
E01027160,0.06,12.903,-0.497,0.056,12.581
E01027161,0.223,44.106,1.239,0.27,14.031
E01027162,0.072,9.336,-0.455,0.064,2.962
E01027163,0.049,10.179,-0.312,0.044,2.99
E01027164,0.037,11.835,-0.828,0.048,5.703
E01027165,0.038,6.212,-0.578,0.032,3.237
E01027166,0.042,8.818,-0.771,0.049,6.611
E01027167,0.042,6.835,-0.563,0.053,7.322
E01027168,0.254,73.888,0.951,0.33,24.449
E01027169,0.083,12.209,-0.136,0.089,26.2
E01027170,0.19,52.763,0.973,0.285,24.999
E01027171,0.138,24.77,0.688,0.14,12.207
E01027172,0.081,13.013,-0.194,0.078,20.025
E01027173,0.15,42.914,0.593,0.198,30.408
E01027174,0.061,9.939,-0.231,0.059,3.75
E01027175,0.133,48.084,0.245,0.181,13.684
E01027176,0.105,23.096,0.596,0.139,3.883
E01027177,0.221,50.198,1.252,0.32,18.801
E01027178,0.161,53.479,0.751,0.247,9.217
E01027179,0.114,27.736,0.15,0.131,17.171
E01027180,0.157,21.787,0.84,0.193,20.448
E01027181,0.052,8.934,-0.451,0.073,16.573
E01027182,0.076,19.136,-0.052,0.086,14.375
